Name=0523_01_02,05/23/2002 17:02:51,Fs=10kHz Spont,aneous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T(ms),CH1(mV),CH2(mV),CH3(mV),CH4(mV),CH5(mV),CH6(mV),CH7(mV),CH8(mV),CH9(mV),CH10(mV),CH11(mV),CH12(mV),CH13(mV),CH14(mV),CH15(mV),CH16(mV),CH17(mV),CH18(mV),CH19(mV),CH20(mV),CH21(mV),CH22(mV),CH23(mV),CH24(mV),CH25(mV),CH26(mV),CH27(mV),CH28(mV),CH29(mV),CH30(mV),CH31(mV),CH32(mV),CH33(mV),CH34(mV),CH35(mV),CH36(mV),CH37(mV),CH38(mV),CH39(mV),CH40(mV),CH41(mV),CH42(mV),CH43(mV),CH44(mV),CH45(mV),CH46(mV),CH47(mV),CH48(mV),CH49(mV),CH50(mV),CH51(mV),CH52(mV),CH53(mV),CH54(mV),CH55(mV),CH56(mV),CH57(mV),CH58(mV),CH59(mV),CH60(mV),CH61(mV),CH62(mV),CH63(mV),CH64(mV)
1849.1,0.04496357,0.105998616,0.071414801,-0.498645596,-0.956191007,0.222782801,0.20460894,0.043428026,-0.005448887,0.031172113,0.087891,0.318062046,0.389201616,0.169588775,0.048196868,0.024009232,-0.009992364,0.005448887,0.020711689,0.029749682,0.028439503,0.023556503,0.013225616,0.010670457,-0.001423384,0.005447934,-0.000291609,-0.004834086,-0.030379861,-0.003524861,-0.001762907,0,-0.037137974,0.003977589,-0.000290656,0.009425477,0.012546523,0.008973748,0.012207,0.001875113,-0.001309225,0.007210841,0.009652795,0.012433364,0.006919232,0.003686934,0.012772887,-0.000452682,0.005562046,0.002037185,-0.006532748,-0.004995205,0.002555159,-0.004883,-0.015214887,0.000856497,0.006192225,0.005562046,0.002894728,-0.004317113,-0.001697662,-0.00124498,-0.011236298,-0.008116252
1849.2,0.040154325,0.086540374,0.076516073,-0.527286781,-1.264793864,0.271829073,0.270842222,0.050889457,0.006717692,0.040897692,0.107422,0.34496555,0.474724374,0.223380616,0.062975215,0.038803748,-0.002684533,0.000606308,0.018528381,0.029782017,0.026111682,0.023669682,0.005974374,0.003411132,-0.001350626,0.003047358,-0.00746201,-0.002215235,-0.020517851,-0.000986851,-0.001714401,0,-0.041883543,0.003912917,-0.00257806,0.006960225,0.007687775,0.006475159,0.002442,-0.003048308,-0.006111384,-0.000121242,-0.000121291,-0.002199467,-0.002700252,-0.008431142,-0.006718692,-0.002927017,-0.00415545,-0.000258301,-0.001593159,-0.005003291,0.007446242,0.002442,0.001834692,0.005626318,0.003670384,0.00072755,0.010251066,-0.001835692,0.007946076,0.008432093,0.003306609,0.008917159
1849.3,0.062199079,0.079289132,0.088941344,-0.538838967,-1.378084722,0.303785344,0.356607503,0.065674887,0.009119272,0.050622272,0.131836,0.323042053,0.523625132,0.306469457,0.092401563,0.046273265,0.007065298,0.007971728,0.023670073,0.027373351,0.028665861,0.031107861,0.013371132,0.020565808,-0.003718868,0.005528781,0.004898589,0.007728616,-0.003330841,-0.008213841,-0.004106894,0,-0.036863113,0.003848245,1.65364E-05,0.009376974,0.005271026,0.00397757,0.002442,-0.005529728,-0.006030543,-0.002571325,0.002312623,0.010023702,0.002328265,-0.008342219,0.000646728,-0.002959351,-0.001664947,-0.004995788,-0.00886057,-0.000129377,0.000129325,0,-0.005529728,-0.001810861,0.008472543,0.000776053,0.005400404,-0.004236272,-0.004382185,-0.006305834,-0.004122483,-0.00822943
1849.4,0.064713834,0.069595891,0.103807616,-0.547950152,-1.181317579,0.240527616,0.457019785,0.082902318,0.009078851,0.045698851,0.136719,0.249848556,0.333267891,0.374909298,0.090088911,0.039094781,-0.010040871,0.000687149,0.009280765,0.037170685,0.03122104,0.03854504,0.011001891,0.018188483,0.006118891,0.015335205,0.000169189,0.012789467,0.001649169,0.001649169,-0.006499387,0,-0.024518682,0.013548573,0.000170132,0.006911722,0.010177278,0.00636198,0.002442,-0.000687149,0.008698298,0.004745593,0.012069536,0.010039871,0.004914781,-0.008253295,-0.009078851,-0.007873685,-0.011382444,-0.021940275,-0.01124498,-0.012344464,-0.002303593,-0.004883,-0.003128149,-0.00192404,0.010832702,0.003266556,0.007873742,-0.004195851,0.012586553,0.003371238,-0.004227576,-0.00340302
1849.5,0.086758589,0.067227649,0.121115887,-0.508233338,-0.984549437,0.099143887,0.584288066,0.107453748,0.00903843,0.05542443,0.161133,0.16688906,0.072110649,0.448233139,0.119515258,0.049005298,-0.00029104,0.00316957,0.004656457,0.05673502,0.036217219,0.050865219,0.025723649,0.020695159,0.006191649,0.003168629,-0.004560212,0.000760318,-0.005577821,-0.000695821,-0.004009881,0,-0.024381252,0.003718901,-0.002117272,0.00932847,0.01020153,0.011188391,0.007325,0.00171343,0.001455139,-0.00014549,0.01450345,0.00761504,-0.002263702,-0.013047371,-0.01636243,-0.00790602,-0.01133394,-0.009587762,-0.003864391,-0.00014555,0.00747049,-0.002441,-0.00805157,0.005286781,0.008310861,0.00331506,0.010348079,0.00561057,0.005141291,0.003282311,-0.001891669,-0.001018609
1849.6,0.094156344,0.059975407,0.118893159,-0.461191523,-0.856141295,-0.098391841,0.718881348,0.132005179,0.01143901,0.04806001,0.175782,0.083929563,-0.064535593,0.47516898,0.158707606,0.056475815,-0.000307209,-0.00167301,-0.009733851,0.044560354,0.036330397,0.048537397,0.025796407,0.023200834,0.001382407,0.005650053,0.002918387,0.005821169,0.004284189,0.001843189,0.005804626,0,-0.019361821,0.006095228,0.002918325,0.006863219,0.007784781,0.008690801,-0.002441,-0.00076799,-0.00334702,0.009611427,0.012053364,0.007631209,0.002764815,-0.003193447,-0.00167401,-0.007938354,0.000921563,-0.007000248,-0.003807801,-0.002594636,0.009919573,0.007324,-0.00076799,0.010056603,-0.00153598,-0.003961437,0.003056417,0.00320899,0.00502003,0.000752384,-0.006879762,0.001366801
1849.7,0.118643099,0.060048166,0.13375943,-0.419032709,-0.781444152,-0.21047757,0.787555629,0.163881609,0.013840589,0.055343589,0.185547,0.020501066,-0.093759834,0.480132821,0.197898954,0.073711331,-0.002765377,0.005691411,-0.004592159,0.049474689,0.046208576,0.046208576,0.018545166,0.01350051,0.003896166,0.010573477,0.012836987,0.01088202,0.006823199,-0.000501801,0.003411132,0,-0.011899391,0.003589556,-0.001810079,0.001955967,0.002926033,0.003751212,-0.002441,-0.008133411,-0.005707179,-0.002603656,0.004721278,0.002764377,-0.001972669,-0.005545523,-0.001633589,-0.000646689,-0.001470934,-0.006854735,-0.008634212,-0.009926722,0.005044656,-0.002441,-0.005691411,0.005060424,-0.001616821,-0.003912934,0.003088755,-0.001633589,1.57682E-05,-0.009102543,-0.011866854,-0.013338788
1849.8,0.145570854,0.060120924,0.119329702,-0.384197894,-0.75801701,-0.263970298,0.665800911,0.21773004,0.028448169,0.069952169,0.200196,-0.04780943,-0.101011076,0.475330662,0.254180301,0.093387848,-0.000339546,0.003290831,-0.011657467,0.051949023,0.048763755,0.031673755,0.028382924,0.023330185,-0.000914076,0.008172901,0.008107586,0.008617871,-0.002845791,0.004478209,-0.006305361,0,-0.02152796,0.001082884,-0.006539483,0.006814715,0.005392285,0.001253623,0.004883,-0.000848831,-0.017833338,-0.012376738,0.002272192,0.002780546,-0.001827152,-0.007897599,-0.008917169,-0.000679023,-0.01118843,-0.006709222,-0.006136623,-0.002610808,0.007494738,0.009766,-0.008172831,0.007389245,-0.006580662,-0.00630543,-0.006644907,-0.008917169,-0.002546493,-0.00430847,-0.009530947,-0.008512377
1849.9,0.179823609,0.077283682,0.080484974,-0.344481079,-0.759002868,-0.268635026,0.277932192,0.24472247,0.025966748,0.069911748,0.209961,-0.099030927,-0.096055318,0.482735503,0.310462649,0.120388364,0.002085285,0.010655252,-0.004074775,0.047098358,0.053758934,0.034227934,0.026014682,0.018511861,-0.003282318,0.005771325,0.003379185,0.011237722,-0.002748781,0.002134219,0.005950146,0,-0.00674253,0.008342212,-0.001502887,0.014114464,0.005416536,0.010962033,-0.002441,0.001551748,-0.010428497,-0.005060821,-0.005059894,-0.004527285,-0.006564636,-0.015133675,-0.006435748,-0.017801358,-0.018463927,-0.018770709,-0.013404033,-0.014825894,-0.002263179,0,-0.005772252,0.007276066,0.003104497,0.001067073,0.01047743,0.000889252,0.002214245,-0.001956397,0.00012996,-0.003685967
1850,0.218958364,0.08956344,0.012344245,-0.292556265,-0.750223725,-0.256209755,-0.068432526,0.237535901,0.035691328,0.082078328,0.212403,-0.125837424,-0.09354156,0.490140344,0.366743997,0.149830881,0.004511116,0.010695672,0.001066917,0.049571692,0.058755113,0.039224113,0.03585244,0.021018536,-0.01541656,-0.006395252,-0.006233215,0.001649573,-0.005092772,-0.000210772,-0.003767348,0,0.000719901,0.01316054,0.005974709,0.014090212,0.010322788,0.015788444,-0.004882,-0.000929672,-0.012788656,-0.014834904,-0.00262698,-0.004511116,-0.003978119,-0.012602752,-0.008836328,-0.012950692,-0.008649424,-0.011301195,-0.003581444,-0.01239298,-0.004696096,0.002442,-0.013136672,-0.002603113,0.015230656,0.001115576,0.008067768,0.003370672,-0.005231017,0.002837675,-0.009741132,-0.011066556
